image_id,old,v5,ans,kind,cat,note
001001,실패,NONE,2021-09-07,parsed,둘 다 오답,07 SEP 21로 나타남. 글자 겹침/도트문자열
001003,실패,NONE,2022-08-24,parsed,둘 다 오답,"2022.08.24, 화질 저하 및 글자 겹침"
001005,실패,NONE,2020-08-10,parsed,둘 다 오답,2020.08.10 화질 저하 및 글자 겹침
001016,실패,NONE,,unparsed,메모만 (정답 파싱 실패),Best By FEB/21/21로 하단에 나옴. 외국
001017,실패,NONE,,unparsed,메모만 (정답 파싱 실패),Best By FEB/21/21로 하단에 나옴. 외국(1016에서 회전 및 명도 저하)
001018,2021-05-01,2021-05-15,,blank,v5 정답,
001019,실패,NONE,,unparsed,메모만 (정답 파싱 실패),1018과 같은 사진. 밝기 낮춤 + 크기 축소
001021,2021-06-28,2021-06-28,,blank,v5 정답,
001022,실패,2021-06-NONE,,unparsed,메모만 (정답 파싱 실패),"1021과 같은 사진, 회전"
001023,2021-07-13,2021-07-13,,blank,v5 정답,
001030,실패,2022-10-01,,unparsed,메모만 (정답 파싱 실패),10 2022로 적힘. 근데 1일은 없음.
001031,실패,2022-10-01,,unparsed,메모만 (정답 파싱 실패),10 2022로 적힘. 근데 1일은 없음. (과대해석)
001038,2021-12-28,2021-12-28,,blank,v5 정답,
001039,2021-12-28,2021-12-28,,blank,v5 정답,
001070,실패,NONE,2024-01-24,parsed,둘 다 오답,01.24 2024년1월로 보임. 이렇게 날짜 형식이 아닐 때는 그냥 none으로 해버리는 문제 고쳐야 함.
001071,실패,NONE,2024-01-24,parsed,둘 다 오답,01.24 2024년1월로 보임. 이렇게 날짜 형식이 아닐 때는 그냥 none으로 해버리는 문제 고쳐야 함.
001072,2023-09-18,2023-09-18,,blank,v5 정답,
001075,2021-09-30,2021-09-30,,blank,v5 정답,
001078,2023-09-24,2023-09-24,,blank,v5 정답,
001079,실패,2023-09-24,,unparsed,메모만 (정답 파싱 실패),1079와 같음. 잘 맞춤.
001086,2023-10-09,2023-10-09,,blank,v5 정답,
001093,2021-05-25,2021-05-25,,blank,v5 정답,
001103,실패,NONE,2021-03-14,parsed,둘 다 오답,2021.03.14(도트문자열)
001129,NONE-12-05,2027-01-04,NONE-02-07,partial,둘 다 오답,02.07까지. 우유는 보통 연도 안 적힌듯. 아닌가? 확인 필요.
001131,NONE-02-12,2018-07-10,NONE-02-12,partial,옛 모델만 정답,02.12까지. 이것도 우유. 연도 보통 안 적힌듯.
001134,실패,2021-03-03,,blank,v5 정답,
001136,실패,NONE,2022-09-24,parsed,둘 다 오답,"24/09/2022(도트문자열, 글자랑 그림이랑 겹쳐 잘 안 보임)"
001164,NONE-03-01,2021-03-01,,blank,v5 정답,
001166,실패,NONE,2022-01-20,parsed,둘 다 오답,2022.01.20(도트문자열)
001167,실패,NONE,2022-01-20,parsed,둘 다 오답,2022.01.20(도트문자열) + 밝기 감소
001177,실패,NONE,,unparsed,메모만 (정답 파싱 실패),"DEC012021(도트문자열), 이거 어떻게 읽음."
001178,실패,NONE,,unparsed,메모만 (정답 파싱 실패),"DEC012021(도트문자열), 이거 어떻게 읽음. + 밝기 저하, 회전"
001179,2023-09-01,2022-09-01,,unparsed,메모만 (정답 파싱 실패),2023이 맞음. 도트문자열
001180,2023-09-01,2022-09-01,,unparsed,메모만 (정답 파싱 실패),2023이 맞음. 도트문자열
001186,2021-09-28,2021-09-28,,blank,v5 정답,
001197,2021-10-10,2021-10-10,,blank,v5 정답,
001198,실패,2021-10-10,,blank,v5 정답,
001205,실패,2021-05-02,,unparsed,메모만 (정답 파싱 실패),05.21임. 일을 잘못 잡음(도트문자열)
001206,실패,NONE-05-21,,unparsed,메모만 (정답 파싱 실패),이건 또 잘 잡음. 위와 같은 사진
001214,실패,2015-05-02,2021-05-15,parsed,둘 다 오답,2021.05.15(도트문자열)
001215,2020-06-15,2021-05-13,2021-06-13,parsed,둘 다 오답,13 06 2021(도트문자열)
001223,실패,2021-11-NONE,2021-04-11,parsed,둘 다 오답,11 APR 2021 (APR을 못 읽었나?)
001236,실패,2028-01-11,,unparsed,메모만 (정답 파싱 실패),01.28. F2라 적힘. 1월 28일일듯.
001237,실패,2028-01-11,,unparsed,메모만 (정답 파싱 실패),01.28. F2라 적힘. 1월 28일일듯.
001238,실패,NONE-01-31,,unparsed,메모만 (정답 파싱 실패),잘 잡음
001239,2020-12-19,2020-12-19,,blank,v5 정답,
001254,2019-09-13,2019-09-13,,blank,v5 정답,
001257,2023-07-03,2023-07-03,,blank,v5 정답,
001261,실패,2018-06-11,2021-03-25,parsed,둘 다 오답,"2021-03-25(밑에와 같은 사진인데, 밝기가 더 좋음에도 못 잡음)"
001262,실패,2021-03-25,,blank,v5 정답,
001268,2022-09-05,2022-09-05,,blank,v5 정답,
001269,실패,2021-01-NONE,,unparsed,메모만 (정답 파싱 실패),11/Oct/2021(도트문자열)
001270,실패,2021-01-NONE,,unparsed,메모만 (정답 파싱 실패),11/Oct/2021(도트문자열)
001274,2022-06-17,2022-06-17,,blank,v5 정답,
001279,2022-10-09,2022-10-09,,blank,v5 정답,
001280,2022-10-09,2022-10-09,,blank,v5 정답,
001286,2022-11-21,2022-11-21,,blank,v5 정답,
001292,2022-11-05,2032-09-NONE,2022-11-05,parsed,옛 모델만 정답,2022/11/05(Y/M/D)라 적혀 있음에도 틀림. 문제는?
001293,2020-09-02,2020-09-NONE,2022-11-05,parsed,둘 다 오답,2022/11/05(Y/M/D)라 적혀 있음에도 틀림. 문제는?
001297,2023-11-NONE,2023-11-NONE,,blank,v5 정답,
001304,2021-04-12,2021-04-12,,blank,v5 정답,
001305,2021-04-12,2021-04-12,,blank,v5 정답,
001308,2022-11-06,2022-11-06,,blank,v5 정답,
001313,2022-01-15,2022-01-15,,blank,v5 정답,
001314,2022-01-15,2022-01-15,,blank,v5 정답,
001318,실패,2020-03-28,2022-12-07,parsed,둘 다 오답,07/12/2022(왜 못잡는거지..)
001325,실패,2022-07-31,,unparsed,메모만 (정답 파싱 실패),JUL 22 21(7월만 맞음)
